date,com_count,sub_count,com_body_pos_count,com_body_very_pos_count,com_body_neg_count,com_body_very_neg_count,sub_body_pos_count,sub_body_very_pos_count,sub_body_neg_count,sub_body_very_neg_count,sub_title_pos_count,sub_title_very_pos_count,sub_title_neg_count,sub_title_very_neg_count,avg_clust_coef,avg_degree,num_edges,num_nodes,bitcoin_open,bitcoin_high,bitcoin_low,bitcoin_close,bitcoin_volume,bitcoin_market_cap
12/27/2013,6065,477,1516,766,666,253,105,74,14,6,67,10,22,4,0.006916125,1.4146,2856,2019,763.28,777.51,713.6,735.07,"46,862,700","9,295,569,920"
12/28/2013,5335,354,1364,659,565,226,85,63,23,14,54,14,21,5,0.004497063,1.428,2689,1883,737.98,747.06,705.35,727.83,"32,505,800","8,990,850,048"
12/29/2013,5413,341,1347,649,615,245,92,67,17,4,43,10,25,3,0.007133818,1.2978,2436,1877,728.05,748.61,714.44,745.05,"19,011,300","8,872,599,552"
12/30/2013,5757,447,1547,783,659,277,96,65,31,19,48,14,27,5,0.004984838,1.4208,2762,1944,741.35,766.6,740.24,756.13,"20,707,700","9,036,999,680"
12/31/2013,4772,352,1162,591,577,224,90,77,19,7,50,11,20,5,0.003237786,1.2487,2234,1789,760.32,760.58,738.17,754.01,"20,897,300","9,268,240,384"
1/1/2014,4173,288,997,496,468,172,63,47,17,9,42,8,13,3,0.006140333,1.2018,1900,1581,754.97,775.35,754.97,771.4,"22,489,400","9,203,030,016"
1/2/2014,5481,483,1351,619,533,212,96,67,18,12,73,12,21,2,0.005718431,1.2849,2458,1913,773.44,820.31,767.21,802.39,"38,489,500","9,428,179,968"
1/3/2014,6209,531,1659,837,633,270,106,74,22,8,86,10,19,0,0.004441839,1.3201,2701,2046,802.85,834.15,789.12,818.72,"37,810,100","9,786,680,320"
1/4/2014,6381,421,1598,826,699,295,115,81,19,8,65,16,18,2,0.014446491,1.4443,2981,2064,823.27,859.51,801.67,859.51,"38,005,000","10,035,600,384"
1/5/2014,6492,469,1549,721,630,236,131,86,22,9,61,13,21,5,0.005545155,1.4853,3192,2149,858.55,952.4,854.52,933.53,"72,898,496","10,465,699,840"
1/6/2014,7477,655,1874,946,721,264,146,102,29,15,159,20,16,3,0.006262058,1.4362,3388,2359,936.05,"1,017.12",905.71,953.29,"85,565,696","11,410,400,256"
1/7/2014,7790,637,2040,977,857,322,146,109,24,13,126,10,28,3,0.008996806,1.4416,3653,2534,946.49,965.74,802,802,"81,311,696","11,571,399,680"
1/8/2014,6598,639,1685,846,680,246,141,100,22,11,160,12,21,5,0.006561626,1.3461,3119,2317,795.99,870.68,776.18,842.72,"74,175,600","9,734,800,384"
1/9/2014,9058,750,2070,954,1086,441,142,109,42,26,122,16,50,11,0.020574551,1.4841,4050,2729,841.47,864.36,804.14,846.86,"59,998,600","10,295,100,416"
1/10/2014,6412,592,1577,754,657,266,108,81,34,14,122,24,27,2,0.006604362,1.4332,3153,2200,846.69,871.19,822.6,868.48,"31,876,800","10,363,299,840"
1/11/2014,4954,475,1253,609,496,186,106,77,21,12,82,12,16,2,0.004916221,1.3732,2513,1830,867.32,921.48,861.72,913.95,"44,754,200","10,619,899,904"
1/12/2014,5128,429,1239,588,537,197,95,66,18,7,44,16,16,2,0.01002135,1.3722,2459,1792,919.6,928.52,851.17,863.22,"39,623,500","11,264,799,744"
1/13/2014,6328,503,1573,711,683,251,109,88,28,14,76,10,23,8,0.010225493,1.4663,3044,2076,860.19,861.29,806.05,841.2,"45,580,900","10,541,500,416"
1/14/2014,6465,610,1705,854,714,284,143,110,18,9,74,11,35,10,0.013320118,1.4382,2977,2070,843.17,855.69,825.66,833.27,"20,829,800","10,336,499,712"
1/15/2014,6514,604,1732,774,689,274,128,96,31,19,64,11,37,5,0.010297971,1.4399,3224,2239,833.12,872.81,830.86,860.9,"28,107,200","10,216,699,904"
1/16/2014,6032,588,1567,766,581,231,132,101,22,13,87,18,26,3,0.00370254,1.3886,3041,2190,860.29,866.16,835.63,835.63,"19,149,300","10,553,799,680"
1/17/2014,5589,493,1472,730,588,235,99,70,13,8,61,14,17,2,0.005299367,1.3483,2756,2044,834.49,842.91,797.63,814.64,"39,031,700","10,241,200,128"
1/18/2014,4056,337,1083,545,403,168,82,57,11,9,35,9,14,1,0.002600613,1.2474,1931,1548,816.07,841.49,816.07,840,"18,052,700","10,018,199,552"
1/19/2014,4162,311,1029,488,371,131,60,38,11,8,40,6,8,1,0.004404666,1.2308,1877,1525,839.66,870.96,825.53,870.96,"24,365,700","10,311,499,776"
1/20/2014,4872,403,1318,657,491,173,96,65,13,8,42,15,18,5,0.005064041,1.2938,2325,1797,871.39,886.39,853.87,870.2,"27,652,700","10,704,799,744"
1/21/2014,5881,551,1584,806,659,217,138,92,12,5,67,20,20,5,0.004437872,1.3459,2747,2041,869.65,881.2,855.93,863.91,"18,997,300","10,687,699,968"
1/22/2014,6192,553,1590,784,601,245,128,95,23,14,76,20,19,1,0.010237924,1.3456,2881,2141,867.21,870.15,837.36,845.59,"18,453,700","10,661,399,552"
1/23/2014,6160,578,1612,813,556,197,122,79,24,9,62,13,13,1,0.014169625,1.3994,3122,2231,845.46,851.57,819.32,822.04,"15,607,100","10,398,000,128"
1/24/2014,7069,595,1814,858,679,235,137,101,30,10,65,18,20,2,0.011139157,1.4257,3299,2314,822.43,822.43,783.58,797.07,"34,912,000","10,118,400,000"
1/25/2014,5787,409,1407,704,611,242,99,65,14,8,41,6,11,2,0.004123646,1.4333,2954,2061,796.24,861.45,792.96,853.61,"24,303,900","9,799,919,616"
1/26/2014,5969,448,1475,708,571,199,119,75,27,14,55,9,16,0,0.007415359,1.405,2935,2089,853.68,897.02,844.86,885.28,"32,224,300","10,510,399,488"
1/27/2014,7926,615,1785,808,1039,448,124,90,39,26,69,13,39,7,0.011515611,1.4326,3530,2464,884.6,893,757.11,771.39,"49,233,600","10,894,399,488"
1/28/2014,8360,665,1908,870,1146,535,145,107,38,22,80,18,33,7,0.010751917,1.4029,3625,2584,774.02,832.5,766.98,812.51,"44,875,500","9,535,949,824"
1/29/2014,7521,634,1784,866,984,457,127,83,32,23,81,13,26,5,0.008797655,1.3918,3442,2473,809.96,836.87,809.85,826,"17,984,400","9,981,849,600"
1/30/2014,8047,601,2127,1045,791,324,137,96,30,20,78,22,30,5,0.008482443,1.3775,3999,2903,826.02,830.5,799.06,819.03,"29,918,200","10,182,899,712"
1/31/2014,6752,513,1639,807,726,277,124,85,29,13,70,19,17,2,0.008458811,1.335,3120,2337,818.43,831.87,812.6,829.92,"17,107,900","10,092,900,352"
2/1/2014,5364,398,1216,546,577,207,91,72,21,8,53,13,21,1,0.005743813,1.2797,2475,1934,828.61,853.52,827.11,832.58,"19,668,700","10,222,300,160"
2/2/2014,6186,385,1515,714,669,237,74,53,23,9,55,10,16,1,0.005687674,1.2172,2606,2141,832.9,844.72,820.67,825.37,"11,300,900","10,279,199,744"
2/3/2014,6221,462,1616,805,704,269,104,70,27,18,61,13,27,3,0.00661813,1.2366,2739,2215,824.08,826.48,807.22,823.83,"13,940,100","10,174,100,480"
2/4/2014,9236,564,2660,1426,936,345,125,92,23,16,57,7,34,7,0.015494833,1.3925,3874,2782,823.77,840.17,820.94,827.96,"16,609,700","10,174,000,128"
2/5/2014,5712,587,1570,757,576,234,148,109,17,9,67,21,23,4,0.006623784,1.3756,2974,2162,829.96,837.32,811.91,811.91,"22,395,100","10,254,100,480"
2/6/2014,9039,621,2048,959,1119,419,118,87,45,20,66,14,51,9,0.015914265,1.4084,4383,3112,815.59,819.81,770.59,781.55,"50,108,700","10,079,899,648"
2/7/2014,9593,752,2165,983,1285,530,132,100,46,23,85,14,58,5,0.008172999,1.5206,4682,3079,783.2,783.2,654.35,712.4,"113,643,000","9,683,189,760"
2/8/2014,6323,473,1483,698,745,309,101,68,29,13,49,8,30,5,0.010880865,1.3838,3036,2194,699.57,721.82,661.87,673.92,"38,742,600","8,651,929,600"
2/9/2014,7017,556,1652,773,801,302,120,83,40,25,71,10,35,4,0.006307018,1.4008,3163,2258,671.46,712.27,655.25,682.9,"39,311,400","8,307,339,776"
2/10/2014,10608,994,2179,971,1474,614,204,138,66,38,85,15,96,13,0.015011482,1.5963,5033,3153,681.32,703.71,550.5,681.03,"112,758,000","8,431,680,000"
2/11/2014,9584,937,2095,946,1229,510,162,101,76,48,110,18,82,17,0.007660548,1.5653,4854,3101,683.5,712.46,636.66,672.17,"72,745,200","8,461,320,192"
2/12/2014,8541,809,1906,892,1058,454,124,84,59,27,92,12,52,6,0.012003565,1.4901,4138,2777,672.38,672.9,643.04,651.72,"25,367,600","8,326,419,968"
2/13/2014,8805,686,1914,939,1100,453,127,88,34,19,82,22,58,8,0.009183639,1.4932,4090,2739,651.08,657.99,601.91,605.24,"38,588,100","8,065,549,824"
2/14/2014,11334,879,2357,1074,1351,499,178,122,51,33,106,17,69,13,0.013100376,1.5587,5591,3587,601.17,691.72,541.04,661.99,"102,506,000","7,449,939,968"
2/15/2014,5660,477,1349,669,619,246,107,71,26,15,61,9,16,0,0.004616497,1.3837,2928,2116,660.9,661.84,632.84,650.92,"26,709,200","8,193,290,240"
2/16/2014,8239,598,1730,745,1014,376,113,76,33,18,65,16,38,9,0.012726686,1.6159,4030,2494,651.3,665.1,584.17,616.63,"40,061,700","8,077,340,160"
2/17/2014,8313,667,2002,922,1007,401,122,83,25,13,67,11,34,5,0.010599019,1.5564,4014,2579,614.23,656.95,607.31,626.27,"31,948,400","7,620,579,840"
2/18/2014,10004,694,2327,1104,1077,470,136,95,37,21,77,20,56,2,0.017712814,1.51,4471,2961,627.16,645.76,612.54,626.6,"20,015,100","7,783,430,144"
2/19/2014,8486,669,2000,1013,870,346,115,74,30,14,72,16,23,7,0.010395532,1.448,3943,2723,625.97,631.77,618.7,623.03,"13,897,800","7,771,210,240"
2/20/2014,11646,954,2301,1055,1595,663,161,120,85,40,106,28,71,12,0.019803517,1.6827,5775,3432,623.09,627.73,556.14,556.14,"46,905,000","7,738,579,968"
2/21/2014,10150,744,2171,958,1322,544,131,91,39,22,84,19,38,2,0.012642429,1.5153,4758,3140,556.88,582.96,530.47,574.16,"47,308,100","6,918,730,240"
2/22/2014,6578,472,1461,682,728,272,90,62,27,11,50,19,23,1,0.007413692,1.2494,2946,2358,574.24,614.48,558.58,605.42,"31,254,000","7,136,600,064"
2/23/2014,6214,473,1511,691,658,277,112,74,19,5,59,14,22,2,0.010795147,1.3923,3095,2223,606.47,639.91,599.7,605.82,"31,434,400","7,539,890,176"
2/24/2014,9220,693,2078,982,1007,415,124,85,37,25,69,10,51,7,0.012351005,1.547,4344,2808,606.04,607.61,538.7,546.32,"57,893,900","7,537,079,808"
2/25/2014,28492,2126,5164,2189,4225,1691,316,215,213,111,171,40,216,53,0.029073878,1.993,12903,6474,540.24,541.38,420.41,538.71,"126,314,000","6,721,330,176"
2/26/2014,16942,1265,3510,1603,2264,915,241,153,88,53,123,32,117,25,0.01510881,1.803,8357,4635,537.04,603.8,532.58,582.69,"64,642,700","6,683,679,744"
2/27/2014,14933,917,3132,1417,2125,909,166,101,74,44,101,26,90,5,0.019356524,1.688,7137,4228,581.65,594.05,566.62,578.77,"25,540,800","7,241,560,064"
2/28/2014,14791,1060,3017,1393,2125,927,163,108,100,59,99,22,98,20,0.006904195,1.7363,6695,3856,579.7,584.14,545.17,549.26,"28,076,100","7,219,990,016"
3/1/2014,10795,709,2356,1093,1511,673,136,95,60,41,82,15,61,12,0.004953087,1.3879,4616,3326,549.92,573.38,539.29,565.61,"18,668,100","6,851,590,144"
