date,com_count,sub_count,com_body_pos_count,com_body_very_pos_count,com_body_neg_count,com_body_very_neg_count,sub_body_pos_count,sub_body_very_pos_count,sub_body_neg_count,sub_body_very_neg_count,sub_title_pos_count,sub_title_very_pos_count,sub_title_neg_count,sub_title_very_neg_count,avg_clust_coef,avg_degree,num_edges,num_nodes,bitcoin_open,bitcoin_high,bitcoin_low,bitcoin_close,bitcoin_volume,bitcoin_market_cap,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_market_cap
7/1/2016,6061,429,1452,729,868,397,68,46,23,15,51,8,25,4,0.018171283,1.4665,2732,1863,672.52,686.15,669.59,676.3,134431008,10570600448,12.44,12.49,11.73,12.2,17236500,1014220032
7/2/2016,5163,315,1223,559,690,284,48,19,20,8,33,11,29,3,0.020034073,1.5687,2513,1602,676.73,703.7,676.4,703.7,112354000,10639599616,12.22,12.22,11.95,12.13,8987070,996510016
7/3/2016,5468,319,1280,610,808,374,66,51,15,6,22,3,19,1,0.030250733,1.627,2639,1622,704.97,704.97,649.01,658.66,129512000,11086100480,12.12,12.15,11.59,11.72,10588700,989132032
7/4/2016,4721,369,1214,590,594,258,61,42,15,8,39,6,36,6,0.02046162,1.5617,2419,1549,658.8,683.66,650.51,683.66,92008400,10362699776,11.7,11.88,11.39,11.47,12943500,954849024
7/5/2016,5957,421,1500,708,822,362,83,58,15,6,23,4,34,6,0.030389228,1.6009,2736,1709,683.21,683.49,665.07,670.63,130476000,10749100032,11.46,11.52,9.58,10.61,45526900,935729984
7/6/2016,6805,426,1608,813,933,399,74,47,15,9,37,8,30,3,0.01662548,1.1221,2839,2530,670.42,681.9,670.42,677.33,134960992,10550299648,10.58,11.11,10.28,10.53,18137300,864062976
7/7/2016,6844,513,1601,718,877,359,76,56,18,12,41,9,25,3,0.01773946,1.1568,2892,2500,678.09,682.43,611.83,640.56,258091008,10673399808,10.54,10.57,9.8,10.11,15407200,861144000
7/8/2016,5043,416,1296,651,580,230,58,40,11,6,56,9,18,1,0.019568079,1.3381,2438,1822,640.69,666.71,636.47,666.52,141970000,10086899712,10.12,11.52,9.96,11.39,20039800,827089984
7/9/2016,5630,534,1296,587,598,204,64,41,22,13,70,12,34,4,0.021417579,1.5108,2863,1895,666.38,666.38,633.4,650.96,180536000,10493800448,11.42,11.46,10.73,10.97,17254800,933945984
7/10/2016,3781,298,1009,472,443,184,40,28,16,5,33,7,14,0,0.009515764,1.3809,2005,1452,650.6,652.29,641.26,649.36,102532000,10247300096,10.96,11.01,10.78,10.95,5479240,896899008
7/11/2016,4333,398,1139,570,507,234,49,39,9,3,46,7,22,2,0.019532843,1.3801,2251,1631,648.48,659.63,644.98,647.66,107910000,10215199744,10.94,11.01,10.26,10.46,13098000,895670016
7/12/2016,4479,399,1112,540,568,223,52,33,11,6,45,4,21,5,0.018624124,1.4278,2283,1599,648.28,675.26,646.78,664.55,138172992,10213099520,10.45,10.76,10.43,10.52,11127700,855555008
7/13/2016,3356,339,841,388,392,156,41,30,7,3,25,3,19,5,0.012122528,1.216,1655,1361,664.8,668.7,654.47,654.47,131449000,10474500096,10.51,10.59,10.4,10.5,6715660,860769984
7/14/2016,4415,380,1073,496,491,216,45,35,10,5,36,8,22,3,0.017217872,1.4244,2158,1515,652.92,662.9,652.92,658.08,98511400,10288400384,10.6,11.68,10.6,11.51,23621900,868508992
7/15/2016,4336,341,1124,547,567,247,40,29,9,6,38,4,22,1,0.011515358,1.3959,2066,1480,659.17,667.08,659.04,663.26,81673104,10387900416,11.5,12.43,11.49,11.95,26838900,942817024
7/16/2016,3598,276,878,421,537,248,38,25,15,11,29,3,23,4,0.024706711,1.491,1819,1220,663.78,666.46,659.33,660.77,50330200,10461700096,11.92,11.94,11.59,11.65,10445700,977657984
7/17/2016,4265,334,950,449,592,259,47,28,22,15,27,10,26,2,0.033186625,1.4974,2011,1343,661.99,682.36,661.99,679.46,74407904,10434700288,11.62,11.67,11.01,11.16,17921600,953761984
7/18/2016,4771,403,1213,604,654,283,70,48,16,9,33,6,16,5,0.016810576,1.4932,2289,1533,679.81,681.55,668.63,673.11,69465000,10716800000,11.17,11.61,10.95,11.03,15931900,917150976
