"","model","feature_lags","accuracy","model_depth"
"1","com_count",10,"0.5698924731182795",5
"2","sub_count",9,"0.5913978494623655",2
"3","com_body_pos_count",9,"0.6344086021505376",14
"4","com_body_very_pos_count",8,"0.6236559139784946",8
"5","com_body_neg_count",10,"0.5913978494623655",9
"6","com_body_very_neg_count",10,"0.6451612903225806",15
"7","sub_body_pos_count",9,"0.6451612903225806",1
"8","sub_body_very_pos_count",8,"0.6344086021505376",13
"9","sub_body_neg_count",9,"0.6021505376344086",15
"10","sub_body_very_neg_count",10,"0.5913978494623655",15
"11","sub_title_pos_count",8,"0.5913978494623655",6
"12","sub_title_very_pos_count",10,"0.5806451612903225",9
"13","sub_title_neg_count",10,"0.5591397849462365",1
"14","sub_title_very_neg_count",10,"0.6344086021505376",14
"15","sub_title_non_zero_pr",5,"0.6021505376344086",1
"16","sub_title_top_50_pr",2,"0.4838709677419355",8
"17","sub_title_top_75_pr",2,"0.6344086021505376",9
"18","sub_title_pr_4_bins",9,"0.5698924731182795",1
"19","sub_title_pr_normalized",1,"0.5268817204301075",12
"20","sub_title_pr_norm_plus_base",9,"0.5483870967741935",11
"21","sub_title_pos_non_zero_pr",6,"0.6881720430107527",6
"22","sub_title_pos_top_50_pr",7,"0.5806451612903225",5
"23","sub_title_pos_top_75_pr",2,"0.5591397849462365",9
"24","sub_title_pos_pr_4_bins",9,"0.5698924731182795",15
"25","sub_title_pos_pr_normalized",1,"0.5806451612903225",1
"26","sub_title_pos_pr_norm_plus_base",4,"0.5806451612903225",1
"27","sub_title_very_pos_non_zero_pr",6,"0.5268817204301075",4
"28","sub_title_very_pos_top_50_pr",6,"0.5913978494623655",7
"29","sub_title_very_pos_top_75_pr",2,"0.5806451612903225",1
"30","sub_title_very_pos_pr_4_bins",9,"0.5268817204301075",7
"31","sub_title_very_pos_pr_normalized",7,"0.5591397849462365",9
"32","sub_title_very_pos_pr_norm_plus_base",7,"0.6021505376344086",1
"33","sub_title_neg_non_zero_pr",10,"0.6236559139784946",5
"34","sub_title_neg_top_50_pr",10,"0.6881720430107527",13
"35","sub_title_neg_top_75_pr",1,"0.5806451612903225",1
"36","sub_title_neg_pr_4_bins",9,"0.6666666666666667",10
"37","sub_title_neg_pr_normalized",5,"0.6774193548387097",2
"38","sub_title_neg_pr_norm_plus_base",9,"0.6989247311827957",15
"39","sub_title_very_neg_non_zero_pr",10,"0.6344086021505376",11
"40","sub_title_very_neg_top_50_pr",7,"0.6021505376344086",14
"41","sub_title_very_neg_top_75_pr",1,"0.5698924731182795",12
"42","sub_title_very_neg_pr_4_bins",10,"0.6344086021505376",9
"43","sub_title_very_neg_pr_normalized",7,"0.5591397849462365",14
"44","sub_title_very_neg_pr_norm_plus_base",10,"0.5913978494623655",11
"45","sub_title_very_pos_minus_very_neg_non_zero_pr",9,"0.7096774193548387",10
"46","sub_title_pos_minus_neg_non_zero_pr",7,"0.6236559139784946",14
"47","sub_title_pos_non_zero_pr_percent",2,"0.6236559139784946",5
"48","sub_title_very_pos_non_zero_pr_percent",7,"0.5591397849462365",14
"49","sub_title_neg_non_zero_pr_percent",2,"0.5268817204301075",9
"50","sub_title_very_neg_non_zero_pr_percent",1,"0.6021505376344086",1
"51","sub_body_non_zero_pr",5,"0.6021505376344086",1
"52","sub_body_top_50_pr",2,"0.5483870967741935",5
"53","sub_body_top_75_pr",2,"0.6344086021505376",9
"54","sub_body_pr_4_bins",9,"0.5698924731182795",1
"55","sub_body_pr_normalized",1,"0.5268817204301075",12
"56","sub_body_pr_norm_plus_base",9,"0.5483870967741935",11
"57","sub_body_pos_non_zero_pr",5,"0.5806451612903225",12
"58","sub_body_pos_top_50_pr",3,"0.6236559139784946",12
"59","sub_body_pos_top_75_pr",4,"0.6021505376344086",1
"60","sub_body_pos_pr_4_bins",8,"0.5591397849462365",1
"61","sub_body_pos_pr_normalized",1,"0.6129032258064516",3
"62","sub_body_pos_pr_norm_plus_base",8,"0.5806451612903225",1
"63","sub_body_very_pos_non_zero_pr",8,"0.5591397849462365",2
"64","sub_body_very_pos_top_50_pr",2,"0.5268817204301075",7
"65","sub_body_very_pos_top_75_pr",1,"0.5806451612903225",1
"66","sub_body_very_pos_pr_4_bins",8,"0.5913978494623655",3
"67","sub_body_very_pos_pr_normalized",1,"0.6559139784946236",3
"68","sub_body_very_pos_pr_norm_plus_base",8,"0.5806451612903225",12
"69","sub_body_neg_non_zero_pr",9,"0.6451612903225806",15
"70","sub_body_neg_top_50_pr",4,"0.6666666666666667",6
"71","sub_body_neg_top_75_pr",1,"0.5806451612903225",1
"72","sub_body_neg_pr_4_bins",9,"0.6344086021505376",12
"73","sub_body_neg_pr_normalized",4,"0.6236559139784946",15
"74","sub_body_neg_pr_norm_plus_base",9,"0.6344086021505376",9
"75","sub_body_very_neg_non_zero_pr",9,"0.5483870967741935",12
"76","sub_body_very_neg_top_50_pr",1,"0.5483870967741935",12
"77","sub_body_very_neg_top_75_pr",2,"0.5698924731182795",1
"78","sub_body_very_neg_pr_4_bins",10,"0.5591397849462365",1
"79","sub_body_very_neg_pr_normalized",1,"0.5698924731182795",11
"80","sub_body_very_neg_pr_norm_plus_base",9,"0.5806451612903225",10
"81","sub_body_very_pos_minus_very_neg_non_zero_pr",10,"0.6236559139784946",5
"82","sub_body_pos_minus_neg_non_zero_pr",10,"0.6881720430107527",3
"83","sub_body_pos_non_zero_pr_percent",2,"0.6129032258064516",3
"84","sub_body_very_pos_non_zero_pr_percent",3,"0.6236559139784946",7
"85","sub_body_neg_non_zero_pr_percent",1,"0.6236559139784946",6
"86","sub_body_very_neg_non_zero_pr_percent",1,"0.5591397849462365",1
"87","com_body_non_zero_pr",4,"0.6344086021505376",10
"88","com_body_top_50_pr",1,"0.5913978494623655",1
"89","com_body_top_75_pr",6,"0.5913978494623655",6
"90","com_body_pr_4_bins",9,"0.6344086021505376",10
"91","com_body_pr_normalized",4,"0.5806451612903225",14
"92","com_body_pr_norm_plus_base",9,"0.5591397849462365",14
"93","com_body_pos_non_zero_pr",5,"0.6989247311827957",11
"94","com_body_pos_top_50_pr",3,"0.5913978494623655",13
"95","com_body_pos_top_75_pr",7,"0.6774193548387097",11
"96","com_body_pos_pr_4_bins",9,"0.5806451612903225",9
"97","com_body_pos_pr_normalized",5,"0.6774193548387097",5
"98","com_body_pos_pr_norm_plus_base",8,"0.6021505376344086",9
"99","com_body_very_pos_non_zero_pr",5,"0.6129032258064516",13
"100","com_body_very_pos_top_50_pr",3,"0.5483870967741935",7
"101","com_body_very_pos_top_75_pr",10,"0.5806451612903225",5
"102","com_body_very_pos_pr_4_bins",8,"0.5591397849462365",8
"103","com_body_very_pos_pr_normalized",1,"0.5376344086021505",10
"104","com_body_very_pos_pr_norm_plus_base",8,"0.6129032258064516",14
"105","com_body_neg_non_zero_pr",10,"0.6129032258064516",14
"106","com_body_neg_top_50_pr",1,"0.5806451612903225",11
"107","com_body_neg_top_75_pr",4,"0.6129032258064516",14
"108","com_body_neg_pr_4_bins",10,"0.6559139784946236",15
"109","com_body_neg_pr_normalized",1,"0.5591397849462365",1
"110","com_body_neg_pr_norm_plus_base",10,"0.6021505376344086",13
"111","com_body_very_neg_non_zero_pr",2,"0.6666666666666667",9
"112","com_body_very_neg_top_50_pr",6,"0.6344086021505376",5
"113","com_body_very_neg_top_75_pr",10,"0.6129032258064516",1
"114","com_body_very_neg_pr_4_bins",10,"0.6344086021505376",7
"115","com_body_very_neg_pr_normalized",1,"0.5806451612903225",15
"116","com_body_very_neg_pr_norm_plus_base",10,"0.6129032258064516",14
"117","com_body_very_pos_minus_very_neg_non_zero_pr",10,"0.6344086021505376",10
"118","com_body_pos_minus_neg_non_zero_pr",9,"0.6559139784946236",15
"119","com_body_pos_non_zero_pr_percent",9,"0.6021505376344086",7
"120","com_body_very_pos_non_zero_pr_percent",9,"0.5913978494623655",7
"121","com_body_neg_non_zero_pr_percent",5,"0.5483870967741935",10
"122","com_body_very_neg_non_zero_pr_percent",4,"0.6129032258064516",14
"123","avg_clust_coef",2,"0.6344086021505376",11
"124","avg_degree",7,"0.6236559139784946",6
"125","num_edges",9,"0.5913978494623655",13
"126","num_nodes",9,"0.5591397849462365",13
