date,sub_title_non_zero_pr,sub_title_top_50_pr,sub_title_top_75_pr,sub_title_pr_4_bins,sub_title_pr_normalized,sub_title_pr_norm_plus_base,sub_title_pos_non_zero_pr,sub_title_pos_top_50_pr,sub_title_pos_top_75_pr,sub_title_pos_pr_4_bins,sub_title_pos_pr_normalized,sub_title_pos_pr_norm_plus_base,sub_title_very_pos_non_zero_pr,sub_title_very_pos_top_50_pr,sub_title_very_pos_top_75_pr,sub_title_very_pos_pr_4_bins,sub_title_very_pos_pr_normalized,sub_title_very_pos_pr_norm_plus_base,sub_title_neg_non_zero_pr,sub_title_neg_top_50_pr,sub_title_neg_top_75_pr,sub_title_neg_pr_4_bins,sub_title_neg_pr_normalized,sub_title_neg_pr_norm_plus_base,sub_title_very_neg_non_zero_pr,sub_title_very_neg_top_50_pr,sub_title_very_neg_top_75_pr,sub_title_very_neg_pr_4_bins,sub_title_very_neg_pr_normalized,sub_title_very_neg_pr_norm_plus_base,sub_body_non_zero_pr,sub_body_top_50_pr,sub_body_top_75_pr,sub_body_pr_4_bins,sub_body_pr_normalized,sub_body_pr_norm_plus_base,sub_body_pos_non_zero_pr,sub_body_pos_top_50_pr,sub_body_pos_top_75_pr,sub_body_pos_pr_4_bins,sub_body_pos_pr_normalized,sub_body_pos_pr_norm_plus_base,sub_body_very_pos_non_zero_pr,sub_body_very_pos_top_50_pr,sub_body_very_pos_top_75_pr,sub_body_very_pos_pr_4_bins,sub_body_very_pos_pr_normalized,sub_body_very_pos_pr_norm_plus_base,sub_body_neg_non_zero_pr,sub_body_neg_top_50_pr,sub_body_neg_top_75_pr,sub_body_neg_pr_4_bins,sub_body_neg_pr_normalized,sub_body_neg_pr_norm_plus_base,sub_body_very_neg_non_zero_pr,sub_body_very_neg_top_50_pr,sub_body_very_neg_top_75_pr,sub_body_very_neg_pr_4_bins,sub_body_very_neg_pr_normalized,sub_body_very_neg_pr_norm_plus_base,com_body_non_zero_pr,com_body_top_50_pr,com_body_top_75_pr,com_body_pr_4_bins,com_body_pr_normalized,com_body_pr_norm_plus_base,com_body_pos_non_zero_pr,com_body_pos_top_50_pr,com_body_pos_top_75_pr,com_body_pos_pr_4_bins,com_body_pos_pr_normalized,com_body_pos_pr_norm_plus_base,com_body_very_pos_non_zero_pr,com_body_very_pos_top_50_pr,com_body_very_pos_top_75_pr,com_body_very_pos_pr_4_bins,com_body_very_pos_pr_normalized,com_body_very_pos_pr_norm_plus_base,com_body_neg_non_zero_pr,com_body_neg_top_50_pr,com_body_neg_top_75_pr,com_body_neg_pr_4_bins,com_body_neg_pr_normalized,com_body_neg_pr_norm_plus_base,com_body_very_neg_non_zero_pr,com_body_very_neg_top_50_pr,com_body_very_neg_top_75_pr,com_body_very_neg_pr_4_bins,com_body_very_neg_pr_normalized,com_body_very_neg_pr_norm_plus_base
2012-01-01,0.0,0.0,0.0,1.5,0.0,0.060000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.060000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25,0.0,0.49000000000000027,0.0,0.0,0.0,3.25,0.0,0.12999999999999998,0.0,0.0,0.0,1.5,0.0,0.060000000000000005,0.0,0.0,0.0,1.5,0.0,0.060000000000000005,0.0,0.0,0.0,0.5,0.0,0.02
2012-01-02,0.0,0.0,0.0,4.5,0.0,0.18000000000000002,0.0,0.0,0.0,0.75,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.18000000000000002,0.0,0.0,0.0,1.5,0.0,0.060000000000000005,0.0,0.0,0.0,1.5,0.0,0.060000000000000005,0.0,0.0,0.0,0.5,0.0,0.02,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.0,37.5,0.0,1.500000000000001,0.0,0.0,0.0,7.5,0.0,0.3000000000000001,0.0,0.0,0.0,2.25,0.0,0.09,0.0,0.0,0.0,3.75,0.0,0.15,0.0,0.0,0.0,2.75,0.0,0.10999999999999999
2012-01-03,0.0,0.0,0.0,2.5,0.0,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.09999999999999999,0.0,0.0,0.0,0.5,0.0,0.02,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,1.320000000000001,0.0,0.0,0.0,7.5,0.0,0.3000000000000001,0.0,0.0,0.0,3.75,0.0,0.15,0.0,0.0,0.0,5.25,0.0,0.21000000000000005,0.0,0.0,0.0,2.25,0.0,0.09
2012-01-04,0.0,0.0,0.0,3.0,0.0,0.11999999999999998,0.0,0.0,0.0,0.75,0.0,0.03,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.11999999999999998,0.0,0.0,0.0,0.75,0.0,0.03,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,0.0,1.260000000000001,0.0,0.0,0.0,9.25,0.0,0.37000000000000016,0.0,0.0,0.0,3.5,0.0,0.13999999999999999,0.0,0.0,0.0,1.75,0.0,0.07,0.0,0.0,0.0,0.75,0.0,0.03
2012-01-05,0.0,0.0,0.0,2.75,0.0,0.10999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.10999999999999999,0.0,0.0,0.0,0.75,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.25,0.0,1.450000000000001,0.0,0.0,0.0,6.25,0.0,0.25000000000000006,0.0,0.0,0.0,2.75,0.0,0.10999999999999999,0.0,0.0,0.0,5.25,0.0,0.21000000000000005,0.0,0.0,0.0,1.75,0.0,0.07
2012-01-06,0.0,0.0,0.0,3.25,0.0,0.12999999999999998,0.0,0.0,0.0,0.5,0.0,0.02,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.0,3.25,0.0,0.12999999999999998,0.0,0.0,0.0,0.75,0.0,0.03,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,1.7200000000000013,0.0,0.0,0.0,11.5,0.0,0.46000000000000024,0.0,0.0,0.0,4.0,0.0,0.16,0.0,0.0,0.0,4.0,0.0,0.16,0.0,0.0,0.0,1.0,0.0,0.04
2012-01-07,0.0,0.0,0.0,3.75,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.0,3.75,0.0,0.15,0.0,0.0,0.0,0.75,0.0,0.03,0.0,0.0,0.0,0.5,0.0,0.02,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.0,36.5,0.0,1.460000000000001,0.0,0.0,0.0,11.5,0.0,0.46000000000000024,0.0,0.0,0.0,6.25,0.0,0.25000000000000006,0.0,0.0,0.0,5.5,0.0,0.22000000000000006,0.0,0.0,0.0,2.0,0.0,0.08
2012-01-08,0.0,0.0,0.0,2.0,0.0,0.08,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.08,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.7800000000000005,0.0,0.0,0.0,5.5,0.0,0.22000000000000006,0.0,0.0,0.0,2.5,0.0,0.09999999999999999,0.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,0.25,0.0,0.01
2012-01-09,0.0,0.0,0.0,4.5,0.0,0.18000000000000002,0.0,0.0,0.0,0.5,0.0,0.02,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.18000000000000002,0.0,0.0,0.0,1.25,0.0,0.05,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,1.5600000000000012,0.0,0.0,0.0,10.5,0.0,0.4200000000000002,0.0,0.0,0.0,4.25,0.0,0.17,0.0,0.0,0.0,3.25,0.0,0.12999999999999998,0.0,0.0,0.0,1.0,0.0,0.04
2012-01-10,0.0,0.0,0.0,4.0,0.0,0.16,0.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.16,0.0,0.0,0.0,1.75,0.0,0.07,0.0,0.0,0.0,1.5,0.0,0.060000000000000005,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.25,0.0,2.1299999999999986,0.0,0.0,0.0,18.0,0.0,0.7200000000000004,0.0,0.0,0.0,10.75,0.0,0.4300000000000002,0.0,0.0,0.0,6.75,0.0,0.2700000000000001,0.0,0.0,0.0,2.0,0.0,0.08
